City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Mount Gambier,AU,-37.83,140.77,48.2,93,40,8.05,scattered clouds
317,Yulara,AU,-25.24,130.99,62.6,39,0,4.7,clear sky
318,Devonport,AU,-41.17,146.35,53.01,81,100,4.0,overcast clouds
319,San Luis De La Paz,MX,21.3,-100.52,72.0,63,71,5.01,broken clouds
320,Tateyama,JP,34.98,139.87,75.0,94,75,5.82,broken clouds
321,Roald,NO,62.58,6.13,50.0,87,100,26.4,heavy intensity rain
322,Vao,NC,-22.67,167.48,68.18,75,50,23.47,scattered clouds
323,Scarborough,GB,54.28,-0.4,66.0,81,99,3.78,light rain
324,Kuryk,KZ,43.2,51.65,65.95,55,21,7.65,few clouds
325,Mareeba,AU,-17.0,145.43,71.6,78,40,10.29,scattered clouds
326,Tzucacab,MX,20.07,-89.05,85.78,69,97,4.41,overcast clouds
327,Ushibuka,JP,32.19,130.02,74.62,86,100,9.73,moderate rain
328,Mercedes,AR,-34.65,-59.43,55.0,66,83,6.51,broken clouds
329,Uniara,IN,26.15,75.22,83.12,54,58,6.91,broken clouds
330,Michigan City,US,41.71,-86.89,75.99,73,1,4.7,clear sky
331,Bundoran,IE,54.48,-8.28,62.01,95,48,1.01,scattered clouds
332,Yerbogachen,RU,61.28,108.01,42.76,82,48,0.22,scattered clouds
333,Nanortalik,GL,60.14,-45.24,43.81,89,100,21.79,light rain
334,Katsuura,JP,35.13,140.3,73.99,94,75,5.82,broken clouds
335,Taoudenni,ML,22.68,-3.98,103.39,10,0,18.19,clear sky
336,Pasighat,IN,28.07,95.33,75.61,86,96,1.52,overcast clouds
337,Sao Pedro,BR,-22.55,-47.91,71.13,59,4,10.69,clear sky
338,Olbia,IT,40.92,9.49,69.8,83,28,2.24,scattered clouds
339,Victoria,HK,22.29,114.16,82.99,88,5,5.01,light rain
340,Acaponeta,MX,22.5,-105.36,90.7,62,95,7.52,overcast clouds
341,Lahij,YE,13.17,44.58,88.66,44,27,4.05,scattered clouds
342,Lubartow,PL,51.46,22.61,59.0,100,12,2.24,few clouds
343,Luangwa,ZM,-15.62,30.42,75.69,35,58,2.33,broken clouds
344,Lockport,US,41.59,-88.06,79.0,53,1,9.17,clear sky
345,Fayetteville,US,35.05,-78.88,75.2,41,1,9.17,clear sky
346,Saucillo,MX,28.02,-105.28,80.76,47,16,7.65,few clouds
347,Kinango,KE,-4.14,39.32,77.0,88,40,5.82,scattered clouds
348,Asau,RO,46.43,26.4,61.0,82,99,3.36,overcast clouds
349,Talnakh,RU,69.49,88.4,53.6,71,100,11.18,overcast clouds
350,Polunochnoye,RU,60.87,60.42,47.53,98,100,8.99,overcast clouds
351,Rancharia,BR,-22.23,-50.89,82.4,34,0,6.93,clear sky
352,Donceel,BE,50.65,5.32,78.8,39,99,6.93,overcast clouds
353,Rocha,UY,-34.48,-54.33,49.23,81,61,7.52,broken clouds
354,Grindavik,IS,63.84,-22.43,42.8,81,100,10.29,overcast clouds
355,Votkinsk,RU,57.05,53.99,46.0,95,90,1.99,overcast clouds
356,Hamilton,US,39.18,-84.53,73.99,43,1,5.82,clear sky
357,Vestmannaeyjar,IS,63.44,-20.27,47.44,68,81,8.99,broken clouds
358,Ingham,US,42.6,-84.38,69.8,60,1,4.7,clear sky
359,La Libertad,EC,-2.23,-80.9,75.2,78,40,9.17,scattered clouds
360,Kirakira,SB,-10.45,161.92,82.56,77,94,17.09,overcast clouds
